ytid,fmin (Hz),fmax (Hz),F0 25th percentile (Hz),F0 50th percentile (Hz),F0 75th percentile (Hz),F0 Mean (Hz),F0 Delta Mean (Hz),RMS Mean,RMS Delta Mean,Spectral Centroid Mean (Hz),Spectral Centroid Delta Mean (Hz),Adjusted Centroid Mean,HNR Mean,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC Delta1,MFCC Delta2,MFCC Delta3,MFCC Delta4,MFCC Delta5,MFCC Delta6,MFCC Delta7,MFCC Delta8,MFCC Delta9,MFCC Delta10,MFCC Delta11,MFCC Delta12,gender_label
o-ISARPUGlo,239.91170118635668,408.1700114541761,268.1285246374036,311.12698372208087,328.6810330604135,315.19843576144933,-1.1100163664011402,0.08920759,-0.0013547597918659,3910.153658506828,-10.490520814484992,13.083360860531982,-12.714969282698563,-7.228939533233643,-39.59569549560547,-37.07196044921875,-34.66324615478516,-1.9030193090438845,8.946395874023438,-16.386333465576172,-7.965312957763672,-5.565655708312988,-21.23727226257324,-21.679685592651367,-17.087888717651367,0.0661379620432853,-0.4426459968090057,0.1752412766218185,0.0999626517295837,0.0473454855382442,-0.0427684225142002,0.1195116713643074,0.1547490805387497,0.0027228200342506,-0.0175709743052721,0.0670165568590164,-0.0635713934898376,
I06TOd9pXng,159.19961611844155,208.8552666091142,163.86452094349727,178.18092194719054,184.2119792761031,177.63342760190022,-0.4688263612490053,0.078314215,-0.0007150017190724,2291.016772222737,11.09697211851311,12.958825476315331,-17.90706569498321,87.5818099975586,-19.59288787841797,6.065804481506348,-18.585622787475582,-19.290292739868164,-15.72555160522461,-12.99448299407959,-20.35832595825196,-9.101080894470217,-16.442750930786133,-8.587851524353027,-10.883729934692385,-0.3269505202770233,0.3886010348796844,0.5377624034881592,0.6662274599075317,0.4474018514156341,0.0713824033737182,-0.4651762545108795,0.0419114418327808,-0.1513017863035202,-0.1338769346475601,0.1027201786637306,0.0035118092782795,0.0
3NAqH9LYDyU,211.28204791122096,329.6275569128699,275.58617649730814,278.7883336231537,311.12698372208087,289.683715658214,-0.3653070245671234,0.13638246,-0.0007675598608329,2797.9554861028246,-10.538818447583695,9.79584477309234,12.9284973418032,31.35892105102539,-45.06629180908203,-7.462665557861328,-15.83201026916504,-32.01724624633789,-47.99940872192383,-5.863344192504883,-24.15291404724121,4.880682468414307,-6.5265326499938965,-3.558066129684448,-7.929667949676514,0.3072951734066009,-0.2171140611171722,-0.0277356225997209,0.1694786548614502,-0.0407901145517826,0.0109659666195511,-0.0634246096014976,0.0543965250253677,-0.0844848304986953,0.0428025797009468,-0.003138851840049,0.010383385233581,0.0
I-Z3gB6pfIA,309.33502415691686,410.5345162761952,320.7074884459702,363.6381399878532,401.1578949656154,363.57084983150696,0.679347291537782,0.11486147,-0.0008603209862485,1764.2504897027566,3.611928872935621,4.897788084141971,-13.842574623827412,71.98973846435547,-103.15677642822266,-21.69318580627441,-35.899688720703125,-7.490117073059082,14.789891242980955,-8.5857515335083,-7.667576789855957,3.443557977676392,-15.156723022460938,-8.965951919555664,-12.323281288146973,-0.2228681147098541,-0.129340723156929,0.0228145066648721,0.0709908679127693,-0.0196648873388767,-0.0559899732470512,-0.022357428446412,0.0899653360247612,-0.0012509198859333,0.0243187882006168,0.1171790286898613,0.0418782718479633,
3KdyWJ6wTOw,151.13490122038982,496.74433811469765,179.730699856521,186.06888929891863,189.32131619375255,226.70134430565344,-4.5435333594173,0.1056392,0.0006425807368941,1705.3147131364844,1.786853852649869,8.487580399706758,5.252703949134958,106.19083404541016,-50.59619522094727,11.99664306640625,-15.603060722351074,-31.74411392211914,-8.754676818847656,1.3528283834457395,-39.72700119018555,-9.411417961120604,-16.952245712280273,-9.566179275512695,-4.744229793548584,-0.1705180406570434,-0.0052375355735421,0.277234673500061,-0.0774392709136009,-0.2460941970348358,0.0055428398773074,0.0033158080186694,0.1172570511698722,-0.0037783551961183,-0.043218795210123,0.0899059027433395,0.0305304266512393,0.0
3JYQgXudiH8,148.53849407850086,239.91170118635668,180.77186920887388,189.32131619375255,199.42369775418427,191.01037089442676,-0.2535600348591942,0.10400463,-0.0001740867301123,1529.5365822795384,1.528700910782362,8.017597289216459,6.456718663625701,106.48182678222656,-40.61799621582031,-13.861845970153809,-30.92347526550293,-26.93706703186035,-24.63290405273437,7.635090351104736,-43.52055358886719,-5.235272407531738,-7.759104251861572,-19.0974349975586,-0.1372710168361663,-0.4747364521026611,0.0615518167614936,-0.1037374287843704,-0.1252469718456268,0.0130895897746086,0.0098062083125114,-0.0363878421485424,0.1761657893657684,-0.0037316076923161,-0.0673967152833938,0.1364718377590179,0.0657849460840225,0.0
Xxe6vTEwFvs,148.53849407850086,295.3659506116579,201.4554620438778,224.49389425094077,248.01453945002717,223.54657324488136,0.3145720622137989,0.10033863,-0.000869276933372,1253.9138055889136,5.992383180823147,5.649429302746247,-3.2350444814971926,116.35816192626952,-63.37591552734375,1.52135169506073,24.80635452270508,-18.45255279541016,-30.19417762756348,-16.976848602294922,-31.73908805847168,-19.9265079498291,-18.2030086517334,-11.783374786376951,-16.925960540771484,-0.5274576544761658,-0.5223658680915833,0.103837676346302,0.2322473376989364,0.0590619556605815,0.0782233327627182,-0.1526668518781662,-0.1745219379663467,0.1477869153022766,-0.009850688278675,-0.0567150525748729,-0.0133055839687585,0.0
nyLpME6YH20,181.8190699939266,312.9293240034019,248.052035816668,271.6362851094592,297.9399408844225,268.264177499459,1.647958108275987,0.1306422,0.0001316389389103,2282.7369093793263,-7.002763034608078,8.547276400925096,8.646160875755061,53.55992126464844,-61.43056488037109,-1.6053993701934814,-5.443820476531982,-29.608890533447266,-43.04425811767578,0.99303936958313,-55.616024017333984,7.797256946563721,-4.122837543487549,-10.299314498901367,4.1533308029174805,0.1692806929349899,-0.0835173353552818,-0.1441681832075119,-0.0568197928369045,0.073674775660038,-0.0173041131347417,-0.0018895133398473,-0.1899837702512741,0.0712293833494186,0.0981877893209457,0.0012053174432367,0.069545142352581,0.0
HzXWXYxXyYA,172.60850153728515,710.6652667840368,222.55627686642293,278.7883336231537,320.24370022528115,340.41861617889333,0.79794746725101,0.05657028,0.0012491409434005,1978.6042799658696,-1.2322271812609804,6.777352241291054,-54.7036793344226,103.84362030029295,-50.80439376831055,-8.435713768005371,-31.403060913085938,-38.65826034545898,-19.32990837097168,-22.004125595092773,-25.94036102294922,7.203262805938721,-17.30562400817871,-5.428861618041992,-12.759705543518066,0.383586972951889,0.2616322636604309,-0.0638020634651184,0.2753606140613556,-0.0861763209104538,0.0209453795105218,-0.0053805671632289,0.1446959674358368,0.0480920299887657,0.0478197857737541,-0.0513253957033157,0.105647936463356,0.0
3IYd8cCmUkQ,178.69552719837182,314.74210513575684,233.08188075904496,275.58617649730814,283.6614678567074,258.1567023784367,0.5587643182209521,0.11725842,3.919782102457248e-05,1742.6176678318348,3.2850267899953884,6.71500111724166,9.509399072885596,63.77886581420898,-22.64542579650879,3.196845054626465,-5.631241321563721,-34.23920822143555,-25.418764114379883,-9.962285041809082,-20.96615982055664,-17.0532169342041,-16.62715721130371,-17.117624282836914,-17.64546775817871,0.1033456772565841,-6.463861791417003e-05,-0.3018086850643158,-0.2092394977807998,0.0225303042680025,-0.0471176914870739,-0.0163237452507019,0.1146524995565414,-0.0442510098218917,0.1482628136873245,-0.0014410018920898,-0.0329758040606975,0.0
XwhAoMLNYWQ,238.52991146631203,359.461399713042,272.42079928303684,285.3047020232221,322.0988531080376,291.38999822319795,-0.0029587444182667,0.10840652,-7.816211291356012e-05,2266.5999775265186,1.5093877336985868,7.690665422660158,18.10067927566707,34.2004280090332,-29.050750732421875,-7.164961814880371,-15.1751127243042,-35.79094314575195,-30.713817596435547,-6.535274982452393,-28.52538681030273,2.538613796234131,-29.9175968170166,-12.472508430480955,-16.529813766479492,0.0916648581624031,0.0262641366571187,0.0232681669294834,0.0874912589788436,0.0037369411438703,0.0659373775124549,-0.0404532626271247,0.0141452252864837,-0.0330780297517776,0.0803664997220039,0.0197598543018102,-0.0317666195333004,0.0
XvyaEbEpAMc,222.55627686642293,238.52991146631203,229.07767355765736,231.7394279100639,234.43211035826656,231.82689705917429,0.1206097921213194,0.026577774,0.0008099624537862,1388.9878929186498,-9.564114072359429,6.007437216203622,-142.36953902965607,66.54685974121094,-50.01140213012695,24.401506423950195,-45.7448844909668,-7.149054527282715,1.6645747423171997,-11.72832489013672,-32.788856506347656,-12.126117706298828,-19.13817596435547,-12.06840991973877,-1.1085445880889893,0.1389545202255249,0.7512152791023254,-0.4126748740673065,0.2857705056667328,0.1735362112522125,0.283015638589859,0.2520135939121246,0.1749626547098159,-0.1994953602552414,0.2845527827739715,-0.0687255933880806,0.0844285413622856,0.0
3Gyi7AvDLzc,206.45635926765144,415.304697579945,226.44649206156825,298.7979376420108,327.72904188699454,284.35457477340697,0.6014076517737228,0.11737724,8.329069532919675e-05,1158.7174660988237,2.2601216059653004,4.168271671236492,-10.250646290966529,123.6189193725586,-43.99546051025391,-24.96908569335937,-55.2115364074707,-13.787394523620604,-29.0903434753418,-5.234338760375977,-10.026756286621094,-34.21954345703125,4.446789264678955,0.9756157994270324,2.1554982662200928,0.0723906233906745,-0.311075896024704,0.0218044128268957,0.0615699216723442,0.0174367502331733,0.1846380531787872,-0.0138165233656764,0.0789324045181274,0.2654490768909454,0.0754814743995666,0.0647934973239898,0.0615178495645523,
HyXMWRU9Owc,145.14587018501834,309.33502415691686,239.56625375634556,261.6255653005986,286.9574553484241,258.022101458438,-0.8449504227876382,0.19836037,0.0003573615977074,1936.3116241217936,-3.755843269035596,7.551026633994173,7.869348879525418,88.65306854248047,-42.80137252807617,8.569073677062988,-34.73762512207031,-12.212841033935549,-17.66189193725586,-5.600355625152588,-36.48709487915039,-17.579914093017578,-6.399791240692139,-11.374649047851562,-3.786031246185303,0.0256460085511207,-0.0708428621292114,0.0131396241486072,-0.1874934881925583,0.0480083040893077,0.1050419807434082,0.0706210061907768,0.0062546050176024,0.1015546396374702,0.0500754304230213,0.059941828250885,-0.0065505700185894,
XvtL_TTLXHY,146.83238395870376,380.8360868427029,235.450648908055,291.1325618422608,339.2863815897469,282.3794093541496,0.0328824706843796,0.2891414,-0.0006369848269969,1781.101824612949,4.298163540279374,6.391389489447641,9.876526263871524,76.5042953491211,-50.62313461303711,13.80688190460205,-20.81731414794922,-19.828584671020508,-34.01944351196289,0.2836333513259887,-21.653966903686523,7.975359439849853,-11.591532707214355,-7.657660961151123,-7.272160530090332,-0.2457981705665588,-0.0941299125552177,0.1444485783576965,-0.030425788834691,-0.0392071306705474,0.0652680546045303,0.0154640711843967,0.0038515268824994,0.0852335542440414,0.013991811312735,-0.0079560298472642,0.0288236271589994,0.0
3EXXs3x4Ius,142.65235101161107,251.2581146483697,158.05875195406895,182.8723371514133,218.4179410493046,186.17367228365225,-0.218539954058737,0.118696444,3.761953485081904e-05,1766.8227523727403,-0.7869133683045043,9.78338957634171,13.163557435893194,86.8841552734375,-61.795169830322266,20.157241821289062,-46.22676849365234,-20.2593994140625,-17.599393844604492,-7.2743706703186035,-36.59934997558594,4.731802463531494,-3.580810308456421,-11.3447847366333,-5.839997291564941,-0.2546272575855255,0.1116358116269111,-0.023212531581521,-0.06934405118227,0.0366081669926643,0.0542920418083667,-0.0205712653696537,0.0336743481457233,-0.0050951591692864,0.0008564757881686,0.088492065668106,0.0103601152077317,0.0
3FJFcgaa0oE,248.37216905734883,320.24370022528115,267.74077300753,295.3659506116579,305.78200836531414,289.6266163319078,-0.7143415165915807,0.12512656,0.0010092597221955,1924.4173155259407,-15.182937499705414,6.565679108153188,-5.220843877960004,83.46704864501953,-40.27036285400391,-30.92652130126953,-32.39147186279297,-37.956275939941406,-20.3031005859375,-12.747565269470217,-36.78751754760742,0.2924741208553314,9.200007438659668,-3.5088627338409424,-11.48196029663086,-0.3149223923683166,0.0310881342738866,-0.0607299320399761,0.0353497005999088,-0.0351979285478591,0.0726899057626724,0.0071406736969947,0.0483120419085025,-0.1031191870570182,0.0204694848507642,0.042392935603857,-0.0156329199671745,0.0
nvrMO6TDu2g,181.8190699939266,327.72904188699454,199.42369775418427,220.0,263.1411467822288,234.28733974883596,0.5339950261639863,0.14635772,-3.412381192902103e-05,2361.4391953743016,5.017848257071963,10.156536358955565,9.83730387472786,47.92721176147461,-31.32472038269043,44.58094787597656,-18.778291702270508,-10.337347030639648,-36.05567932128906,-1.8341257572174072,-39.309478759765625,0.1652030050754547,-28.21160316467285,-9.690309524536133,-33.19181442260742,-0.3937080800533294,0.0556468553841114,0.2687545418739319,-0.1720236986875534,-0.2398664653301239,-0.1352020651102066,0.0099245179444551,-0.162206158041954,-0.0719476640224456,0.0297253467142581,-0.0057322694920003,-0.1583481580018997,1.0
3C-5_z01Olc,119.95585059317834,410.5345162761952,124.90548719779652,155.56349186104043,164.81377845643496,153.1663130804643,0.0819232217818088,0.11733398,-0.0003096821601502,1903.7879927498172,-2.4714845476403227,12.737681990643008,7.761174179551565,97.52143096923828,-73.6172866821289,-13.902267456054688,1.814859628677368,-32.978912353515625,-11.06236171722412,-3.551809787750244,-39.9387092590332,20.15787696838379,-1.9246224164962769,-12.083263397216797,-14.058042526245115,0.0739151388406753,0.1872489154338836,0.0466910265386104,-0.1044643223285675,0.0261671878397464,0.0867695808410644,-0.0562207251787185,-0.115011841058731,-0.08366359770298,0.0806436538696289,0.0088954763486981,0.0004802445473615,0.0
nvRd4xgEWbw,143.47872767421205,251.2581146483697,182.34570357266995,218.73289323986043,245.51937137864908,212.80784866845312,0.6927928935372395,0.09821221,6.415358075173572e-05,2555.378056716658,2.964526956507016,11.734547997797202,6.149213395846521,52.62374877929688,-9.591087341308594,2.7325329780578613,1.7241318225860596,-16.882837295532227,-25.83085823059082,-5.988317489624023,-30.318714141845703,-19.560340881347656,-19.4848747253418,-21.80784034729004,-12.008788108825684,0.0851984843611717,-0.1583967208862304,-0.0023782185744494,-0.0335819609463214,-0.0099209304898977,-0.0246086660772562,-0.023095628246665,0.0121304951608181,-0.0176292490214109,-0.0243136659264564,-0.0307990107685327,-0.0705161094665527,0.0
nv1hWkBbG0g,190.41804342135143,290.2917403700367,212.505992363466,234.43211035826656,246.2305110033556,232.2354901415535,-0.1973059658822577,0.12305918,-0.0001155388745246,1734.8400341085685,12.76644799113226,7.595622661194046,4.972625664671245,82.6195297241211,-50.18803405761719,-12.0355806350708,-17.508865356445312,-26.541650772094727,-31.4907455444336,-19.556209564208984,-31.19931983947754,-16.617746353149414,-19.57885932922364,-13.286538124084473,-16.16145896911621,-0.3010289967060089,0.2463349401950836,0.0917440056800842,0.1712502539157867,-0.0826426446437835,-0.1482046842575073,-0.0291202925145626,-0.1284597814083099,0.0051478440873324,-0.1631791442632675,-0.0408647321164608,-0.051454272121191,0.0
XscK8V4Veac,252.7136380993477,900.5690249571619,290.2917403700367,304.0208335929107,845.1281916448836,520.7776987954599,-1.2685110730280134,0.14768207,-0.0012045961339026,1657.542542301655,-4.367228794201034,4.015226661660247,-2.6026614746677947,82.4156723022461,-101.56275177001952,-11.858673095703123,-47.59557723999024,-34.50662612915039,-13.893635749816896,0.960330605506897,-31.585004806518555,10.723068237304688,0.9710256457328796,-29.390682220458984,-11.287627220153809,0.5064823627471924,0.3358471691608429,-0.030317023396492,0.0838783904910087,-0.0549661703407764,-0.0046903300099074,-0.265064537525177,-0.1530849635601043,-0.0133704161271452,0.0980992913246154,0.1262036114931106,0.0347635820508003,1.0
3B-YYTbpFZE,68.49972922973525,212.505992363466,107.48759652776704,129.68481307709163,164.1018353217317,136.2026638648736,1.0214342282004378,0.1184151,-0.0013967045815661,1059.3677569835752,5.395426056756087,8.309059425828277,-17.42400756068754,150.5347137451172,-8.2912015914917,43.81067657470703,0.2420791685581207,7.8087944984436035,-8.996411323547363,4.291567325592041,-16.671344757080078,-5.693821907043457,-4.736384868621826,-5.741350173950195,-3.638211727142334,0.1498036533594131,0.0365291386842727,-0.1374936252832412,-0.0900921523571014,-0.0368612669408321,0.1264652013778686,-0.1096249371767044,-0.0864380821585655,0.0475711561739444,0.1004749536514282,0.0647328197956085,0.0067460164427757,0.0
374R7te0ra0,127.82501456536237,322.0988531080376,199.42369775418427,233.08188075904496,272.42079928303684,232.49534520479745,-1.5714661401261505,0.116615765,-0.0006351214833557,2784.656555598221,14.294037119620109,12.200602912882385,-16.477414326513244,43.497596740722656,-34.10275650024414,-10.095985412597656,-10.180965423583984,-20.25489044189453,-26.09132575988769,-0.8910254240036011,-27.540319442749023,-10.250045776367188,-18.19268798828125,-11.759115219116213,-13.095318794250488,-0.2940585315227508,-0.4056066870689392,0.0571420453488826,-0.196202665567398,-0.1136579811573028,-0.1238046959042549,-0.0900640040636062,-0.1289023160934448,0.088773138821125,0.0556727536022663,0.1269646137952804,0.0673691779375076,0.0
