ytid,fmin (Hz),fmax (Hz),F0 25th percentile (Hz),F0 50th percentile (Hz),F0 75th percentile (Hz),F0 Mean (Hz),F0 Delta Mean (Hz),RMS Mean,RMS Delta Mean,Spectral Centroid Mean (Hz),Spectral Centroid Delta Mean (Hz),Adjusted Centroid Mean,HNR Mean,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC Delta1,MFCC Delta2,MFCC Delta3,MFCC Delta4,MFCC Delta5,MFCC Delta6,MFCC Delta7,MFCC Delta8,MFCC Delta9,MFCC Delta10,MFCC Delta11,MFCC Delta12,gender_label
DY3ebi02JSM,184.9972113558172,320.24370022528115,233.08188075904496,264.6655079380657,291.9733833144849,261.60099953893393,-0.062110126,0.11239621,-0.000126531,1767.4748558848028,-16.05067838,6.769794104818948,-2.193420842,96.06317901611328,-36.32009506,-6.569561481,-66.70340729,-7.845313549,-13.46276569,-10.99858665,-27.16735458,-11.23257256,-19.25350189,-10.60773563,-19.64439583,1.3190317153930664,-0.389011592,-0.507014751,-0.380257368,0.1183514595031738,0.033722181,-0.020154784,0.005185735,-0.00536054,0.082890905,0.028129557,0.2134919613599777,4
F0r1VtyyeS4,158.2826938011902,333.4576446322876,183.1371793,204.0850057270881,237.1560802694281,213.4883681940912,0.2063630716378991,0.1132344,0.000195213,1110.358651336207,-4.381065633,5.384825804722789,-0.10453075,169.69981384277344,-46.73048019,13.115365982055664,-15.4086113,-13.28758335,-5.458827496,-15.735322,-1.271042109,-0.622257352,0.6609212160110474,-3.390592575,-5.082597256,0.6888450384140015,-0.194629505,-0.400202125,-0.282610387,-0.093586005,0.2997005581855774,0.1539681553840637,-0.062839486,0.097073495,0.05477662,0.010365258,0.149913415,4
GMy6xyuqlf4,195.99771799087463,482.60299106563536,316.5653876023804,355.3326333920185,403.4817790100553,350.05692407040954,-3.020716096,0.11943527,-0.000839101,2604.700188156544,1.0960550232416622,7.468385997386557,-0.486822066,69.48233795166016,-31.16922951,-8.535135269,-20.46148491,-12.80200195,-15.46047592,-5.114508152,-11.50854015,0.1902387887239456,-15.97354126,-2.229249239,-11.78100395,-0.13528119,-0.133376628,0.2874490022659302,0.029356271,-0.159360752,0.029662712,-0.068891153,0.08721488,-0.139253065,-0.301598638,0.007200253,-0.078378722,4
im-MDYNkQnU,208.8552666091142,468.8642207165331,237.1560802694281,283.6614678567074,314.74210513575684,293.75907879707046,-0.803583986,0.08812416,-7.03E-05,1630.2451332198193,-6.198328459,5.853955320104181,-5.672795807,99.61929321289062,-14.22321415,30.241086959838867,3.549325466156006,-33.26496887,-12.70856285,-21.24395561,-14.57165527,-13.28894711,-18.25913239,-15.12913609,-8.191394806,0.3542942404747009,0.079427272,-0.001102166,0.037865631,-0.087445788,-0.134032249,0.053029116,0.086010218,-0.068962336,0.049411491,-0.048276771,0.1682222336530685,4
sl9eomcikts,205.2672581380976,647.9295055642312,325.8414615030442,625.8586480068041,636.7984644737662,508.9093703395845,-7.042385216,0.09831728,-0.000424186,1517.0154651113787,6.588872393010904,3.790400051089717,-0.687170285,120.04798889160156,-69.43752289,-48.85121536,-25.98973274,-41.16880035,-27.35436249,-15.04583073,-20.0589447,6.812667369842529,-0.445574641,21.30126381,14.199569702148438,-0.561434329,-0.329789758,1.3989670276641846,0.2781457602977752,-0.315865755,0.056824617,-0.442461163,-0.021929709,-0.142868564,-0.039782491,-0.447577804,-0.678710699,4
7X_0wLvo0SQ,221.27444703492776,309.33502415691686,243.40433677439884,254.17759331190007,264.6655079380657,256.4804716106517,-0.772492727,0.059845526,-0.000667497,1240.4067574019805,-1.059686734,4.879468207799887,-47.49003085,163.90711975097656,-76.90330505,19.04894447,23.45436668395996,-34.45161819,2.8959107398986816,-9.797859192,-17.6401825,10.889331817626951,-6.188222885,-2.191667318,10.234899520874023,-0.259190202,0.3439678847789764,-0.098729603,-0.492905855,-0.143565863,0.1525745093822479,0.1138658672571182,0.068663098,-0.016174644,-0.092044488,-0.05177214,-0.040239513,5
CuLrP2f3akI,183.93170582347207,420.1303057205832,210.0651528602916,248.37216905734883,282.02769802256034,255.88258946704696,2.8608279898677744,0.09421765,-0.00073168,1575.761076744278,0.011301672,6.464375139731485,-5.770176893,121.84002685546876,-40.2407341,-2.415176868,-2.743240356,-29.91070557,-4.03610611,-18.81212807,9.207997322,-5.53961277,-6.836657047,4.390493392944336,-13.36164474,-0.149574235,-0.18357563,-0.701289594,-0.014833611,0.1766508817672729,-0.43660894,0.087854788,0.1710520088672638,0.036542408,-0.024093401,0.023614112,0.066757075,4
3Pz-Gqj3aoo,,,,,,,,0.035667803,-0.000354524,1980.1559108684608,5.210104181423085,0,-106.979609,119.22865295410156,-77.60334778,10.808637619018556,-17.35948944,-8.349504471,8.213510513305664,-1.745127916,1.376683235168457,13.800457954406738,-4.567883968,5.890118122,-0.325748175,-0.326160461,-0.230157107,-0.117730908,0.016528185,-0.068954095,-0.034604631,0.006575064,0.030619603,0.1076024547219276,0.024495134,-0.006879057,-0.010652378,5
4mib6x-088M,205.2672581380976,298.7979376420108,269.2917795270241,278.7883336231537,288.6197829762387,270.68215527061085,-0.319006626,0.073200636,-0.000183447,1469.0417267156354,5.090300229031264,5.4724710034557305,-66.3748295,156.40420532226562,-66.53347015,14.689431190490724,-26.90508461,-20.49979782,5.949633121490479,-11.22669029,-20.79777336,2.548266887664795,-4.741424084,-9.088710785,-18.61210632,-1.353788614,-0.072315022,0.738741398,1.4571304321289062,0.3769191801548004,-1.554861426,-0.706803381,0.1032210811972618,0.003247318,0.5744471549987793,0.2391490191221237,-0.605966091,4
70aX70LwLBg,123.47082531403105,341.2518476034216,163.86452094349727,186.06888929891863,208.8552666091142,190.52756764662388,-1.529149119,0.08887808,0.00028495,1381.3575533582114,-1.2606412,7.343146225844861,-18.37000983,140.52406311035156,-30.92737961,7.426675319671631,2.084003448486328,-23.52092552,-20.65098572,-4.209723949,-17.61929512,-1.782510161,-15.60249901,1.3327091932296753,-14.44107342,0.080930471,0.022119947,-0.306153715,-0.24588123,-0.176196143,-0.174149543,0.050201975,0.3130514621734619,-0.201117054,-0.110959269,0.2660654187202453,-0.149776742,5
01VfNWBAK0I,172.60850153728515,417.7105332182284,239.2465918393745,286.1310786858231,326.3133565990317,277.86498630651204,-3.621955559,0.0760812,-0.000686939,2126.567485446089,9.933963892778332,7.968765682455299,-50.85274741,101.51490783691406,-25.01464844,16.729150772094727,-7.93462944,-13.73488617,-28.85270309,-19.33613014,-8.579057693,-13.02078247,-14.29690552,0.083088383,-17.30714417,-0.660384297,0.3449804484844208,-0.002485722,0.2015538513660431,-0.143413991,-0.337114692,0.1401364952325821,0.093386926,-0.094896197,-0.260837078,-0.090814792,0.2474191486835479,4
-2WeKymlTLU,149.39896882100538,264.6655079380657,182.8723371514133,204.0850057270881,227.7582832,203.70906060552252,0.5201705604875393,0.12100584,-0.000401744,1439.3749195724747,-0.815921509,7.142898027793951,2.6423750223474456,136.2731170654297,-44.15437698,17.930234909057617,-14.40085983,-25.56272316,-9.083190918,-14.57059956,-12.89981651,2.782027483,-23.67972374,-7.669979095,-11.03686047,0.1072441861033439,0.4521723389625549,0.063861474,0.3357858657836914,-0.212090537,-0.099218495,0.084800892,-0.316065341,0.1407917290925979,-0.254945338,-0.182419136,-0.008863015,4
Av8_7xhs19M,211.28204791122096,440,260.1187129259726,284.4830849399648,338.79784514913825,299.46625063280715,-0.215708971,0.10267118,-0.000363363,1566.982767527696,1.542314702712475,5.392023407417319,2.001711683102624,129.06825256347656,-17.4875412,-9.129535675,8.506916046142578,-32.75414658,-38.63583755,-1.435080528,-20.48431206,2.104275703430176,-20.3754921,-4.721292496,-21.2328701,0.027599547,0.1269410252571106,0.1049724295735359,0.1371803134679794,0.074609764,0.042553708,-0.064506933,-0.063354805,0.004819454,0.066592343,0.1470842063426971,0.024105681,4
XDYJyk0v0Ko,130.0593564629863,694.4336496580045,237.1560802694281,266.9697363178872,316.5653876023804,289.92255082233163,4.968995461198035,0.104392074,-0.000290534,1089.3698543683338,-3.233852629,4.1075636151966615,-2.572060201,162.81253051757812,-52.20692444,-3.511426926,-14.76087761,-22.44227219,-1.38058567,-14.11378479,2.992588996887207,4.327991962432861,-3.340023518,0.8330236077308655,-5.248686314,0.1261928081512451,0.6251826882362366,-0.466546416,-0.2700333,0.3751035034656524,0.2802794575691223,0.011383673,-0.108414531,-0.007400109,-0.023838799,0.037753105,0.079725556,4
JDnM31XSJ6U,134.64588976351206,286.9574553484241,167.45320999763632,188.23090565017245,216.22053167995523,193.2361155701064,0.3737337440307733,0.118169054,-0.00045734,1105.607381274918,-1.937653822,5.815187912844914,4.098531318410944,165.85269165039062,-10.13164425,21.515594482421875,1.9298847913742063,-10.38842583,6.247215747833252,-15.67622852,10.19107723236084,-10.29960155,-5.208953857,-1.77406919,-9.713524818,0.4256945252418518,-0.269658029,-0.534420967,0.08159025,0.2521549463272095,-0.102103829,0.064910553,-0.009726379,0.2082156389951706,-0.043517485,0.007685192,0.009191513,4
u_T-kFpt6TM,162.9207307515221,482.60299106563536,233.4194381588504,254.18183361503625,294.9406549380953,269.5847767112541,-2.695623787,0.11474547,-4.68E-05,986.7928606789484,-1.665461117,3.7838630992563504,6.374143546011675,219.0526885986328,-77.57450104,10.098976135253906,19.553897857666016,-49.94047165,-1.358986378,-3.13269639,-22.02671432,13.300630569458008,-5.553218842,-16.23533249,9.090790748596191,0.070878297,0.1324224025011062,-0.243271485,-0.134131908,0.1572193503379821,0.059180565,-0.023966646,0.078448184,0.092484228,0.028392863,0.011489825,0.013537161,4
H168Xbnbw5A,174.6141157165019,307.5533855193843,212.5059924,233.08188075904496,258.6205394,237.24479178648852,0.1714785416821833,0.04842155,-0.000661526,1952.6684119115828,-21.47872441,8.307535004062604,-51.02657428,107.27598571777344,-4.192221165,-0.72748512,-5.516896725,-24.57608604,-16.15633011,-12.69717407,-16.76833725,-11.25297737,-9.363463402,-4.392112255,-11.55521393,1.5688693523406982,-0.168444052,-0.747727036,0.089087926,0.346814215,-0.226102665,-0.334001213,0.2193672209978103,0.3856555521488189,0.1102063804864883,0.186843067,0.2823872566223144,4
