,femaleASspeech,maleASspeech,femaleASsing,maleASsing,femaleMC,maleMC,femaleLM,maleLM
0,CfYHhTbsphg,k_a-bNslgLg,2Nf2AXhUOdU,26XPoduYFWg,Fz-ZNyVKWro,dl1ljByerd8,Woman00707.wav,Man00644.wav
1,xkQpqMr126A,9X2KXbJlh7M,3NVbCPUfVAE,2dh_OjkDrI0,qcjzfHmQvxg,ZX2fVPmUidA,Woman00532.wav,Man00809.wav
2,Nd7nhC1LxCg,lesbxDTUhog,7-K_RxOcv9o,2BWm6pmV7JI,TTytcT_1dmY,LFYRuK8YstI,Woman00962.wav,Man00701.wav
3,Ct-4QKESHck,0KKChHiDBEc,1zNvk2oOoFw,1T87nRjn888,1W2FOzSXsxs,8LP_wbFLaJE,Woman00099.wav,Man00529.wav
4,nl0z36kBkHM,8dt0qI-t7gk,5ty5ijrsH2o,6_zix5BUQ4E,BzM0qok5Cns,2G5bSYHcJSM,Woman00593.wav,Man00542.wav
5,H5txIQbW4LI,eGY7DvuJnwU,8-OEGwu8EoM,1vxMUl6Iy3Y,fZjQBgPD1Ys,oczJZV87k9A,Woman00337.wav,Man00672.wav
6,RhdmfIk8nO4,Afh5iSmvPuM,1o003r1S3AE,3Q1u_Lo7HlI,KqtlecvEOGw,zXxJymYt8Z4,Woman00916.wav,Man00565.wav
7,qXuOJr1wfvU,MUrBKhN1q14,11Inc9i5KxQ,BHnfPpcTrHA,7YtKrL6ScXA,8BJljuSm2Aw,Woman00749.wav,Man00544.wav
8,46Gzmo6AwMc,8bq6gweuuTE,3LeN_TuCCjM,-Tv0wMi5jTs,LGW99kSaf6M,1mB_cboJR8s,Woman00219.wav,Man00331.wav
9,7YumJ88YATg,bu4f7k5X9eQ,1Rio4QzzWD8,3toXXkU7U9g,yn4-OtUmyWo,d6w3d9S1LVM,Woman00382.wav,Man00074.wav
10,dVdV5iYyXY8,WiZuqejmXys,-BSoZcBq_Ns,IvWS4DPeqqs,ICcASgMtIJ8,GW6pti04qIo,Woman00632.wav,Man00860.wav
11,Av8_7xhs19M,3x8Nh4tEaVU,-WvnQnjubPM,2Fr6LbLrtVE,JvvnL7UnCGA,t5P_HJrrD64,Woman00876.wav,Man00466.wav
12,MF43WoT2F5I,dAqrrPa3Idk,5eVf7Fbc4FE,-24y5s4McCM,QpX9dSCFxRI,3tSPMzvuQpk,Woman00928.wav,Man01022.wav
13,424mN8XvYTY,E3UUOFwRHXg,0qXh8149Yp0,28eNI7AkWQs,EZAwPnGOJPE,PRzBkZSSyY0,Woman00671.wav,Man00683.wav
